ds,mean,max,p90,p95
2020-01-01,1.4692398,1.954952,1.7439939,1.8169242
2020-01-02,1.0669433,1.5567011,1.3557907,1.444273
2020-01-03,1.7574683,2.3183324,2.0895672,2.236983
2020-01-04,0.14265656,0.23563634,0.22606546,0.23300989
2020-01-05,0.05281627,0.12494238,0.10603309,0.11109052
2020-01-06,0.103486575,0.39865375,0.26977172,0.32432526
2020-01-07,1.274748,2.553351,2.265217,2.5158901
2020-01-08,2.3422358,3.2046773,2.7187767,3.1286542
2020-01-09,1.5092907,1.8578038,1.8261628,1.8474761
2020-01-10,0.63650715,1.3138764,1.2077969,1.2753323
2020-01-11,0.63665646,1.9083805,1.3718665,1.5827788
2020-01-12,0.012670799,0.033169985,0.023883209,0.027523935
2020-01-13,0.20487273,0.4425779,0.37372783,0.41072237
2020-01-14,0.1264702,0.29425696,0.23931265,0.2477698
2020-01-15,0.02598036,0.07120818,0.05659461,0.058215857
2020-01-16,0.2654295,0.38628727,0.3543223,0.35488057
2020-01-17,1.7871717,3.3016067,2.8223364,3.079536
2020-01-18,0.9009504,1.5556293,1.1211729,1.4913853
2020-01-19,0.53504497,0.88244975,0.79448485,0.8187478
2020-01-20,0.98556596,1.6598456,1.5254422,1.5740542
2020-01-21,4.846514,6.6356387,5.640573,5.839874
2020-01-22,6.508871,11.021562,9.175493,9.486026
2020-01-23,3.3799684,6.136613,5.1443696,5.6751246
2020-01-24,0.6471185,1.2331139,1.1508461,1.2033012
2020-01-25,1.8953261,2.8000398,2.4667869,2.6290188
2020-01-26,1.7879149,3.1448455,2.6467063,2.8139071
2020-01-27,1.5783849,2.5024736,2.2207544,2.2792876
2020-01-28,2.1337917,2.8461704,2.595977,2.6262345
2020-01-29,1.576131,2.0613945,2.0096674,2.0478268
2020-01-30,2.298527,3.0692735,2.9734495,3.0512578
2020-01-31,1.0973212,1.9723319,1.9494891,1.9636141
2020-02-01,6.3574767,11.029054,9.281369,9.7911625
2020-02-02,4.6691394,6.7242374,5.920801,6.2038083
2020-02-03,9.135954,11.970429,11.606998,11.759481
2020-02-04,2.4920738,3.4553704,3.1689546,3.4049945
2020-02-05,1.5490184,2.0280216,1.9095049,1.9854282
2020-02-06,2.9949665,3.7338128,3.4079328,3.6056163
2020-02-07,1.5957913,2.3308098,2.1024306,2.2265294
2020-02-08,0.5300167,1.2094594,0.8875206,1.112485
2020-02-09,0.95828557,1.24982,1.1751235,1.206961
2020-02-10,2.4258308,3.065452,2.9301903,3.0233436
2020-02-11,2.9755127,4.042084,3.655845,3.7636027
2020-02-12,2.182216,2.5654538,2.5134797,2.5431552
2020-02-13,9.604789,12.558952,11.407067,12.0185375
2020-02-14,2.0988426,2.5432453,2.3857534,2.497747
2020-02-15,0.41617417,1.0276228,0.80249906,0.8741982
2020-02-16,2.636841,3.4769378,3.2062054,3.3434076
2020-02-17,1.7488369,2.1423728,2.1016784,2.1326494
2020-02-18,1.5339279,2.663795,2.053366,2.2045863
2020-02-19,2.1752367,2.8324785,2.6819017,2.7915287
2020-02-20,9.050051,11.067134,10.725117,10.857665
2020-02-21,3.3089828,4.024948,3.8257623,3.8766713
2020-02-22,1.8830341,3.1613774,2.801029,3.1155632
2020-02-23,1.6113316,2.3645678,2.1334078,2.1407092
2020-02-24,1.9025208,2.2581122,2.190013,2.234418
2020-02-25,1.7031873,2.8839025,2.5850134,2.6439974
2020-02-26,1.4216294,1.983127,1.9100987,1.9558557
2020-02-27,0.96568483,2.183266,1.5086309,1.9621115
2020-02-28,1.6317009,2.4036498,2.3242028,2.3536212
2020-02-29,2.2205594,2.9063027,2.6724608,2.7706835
2020-03-01,3.6597824,11.098433,7.948452,9.001949
2020-03-02,1.1544856,1.9693404,1.7905265,1.8249375
2020-03-03,2.5577025,5.266464,4.275104,4.5099163
2020-03-04,5.5590653,9.0567465,8.454341,8.97994
2020-03-05,0.6985114,1.3141408,1.1837344,1.2215884
2020-03-06,1.4922737,3.6906393,3.446857,3.6579278
2020-03-07,2.6069832,3.8882446,3.7836921,3.842561
2020-03-08,0.09964118,0.201823,0.19030622,0.19255017
2020-03-09,0.4721075,1.256074,0.9930499,0.9969678
2020-03-10,1.4115669,3.237214,2.7671657,3.1605735
2020-03-11,4.7741604,6.2699847,5.698828,5.8404512
2020-03-12,8.838193,15.647065,12.248624,14.373185
2020-03-13,4.078623,14.003401,10.687977,11.470631
2020-03-14,3.5605395,7.9173098,5.874281,7.029113
2020-03-15,22.215616,26.82662,25.500656,25.940445
2020-03-16,4.784506,7.4097815,6.291938,6.9512353
2020-03-17,5.5465407,11.615275,9.717226,11.388992
2020-03-18,9.494869,14.881418,14.498678,14.678003
2020-03-19,2.171618,2.8642297,2.6528976,2.7913492
2020-03-20,0.3696803,0.8829713,0.6922267,0.7915214
2020-03-21,0.83784384,1.4843476,1.2986124,1.420247
2020-03-22,1.8016181,3.3440514,2.5246544,2.9819734
2020-03-23,4.5090404,10.110373,7.755906,9.722394
2020-03-24,3.7276542,5.4088764,4.7009134,4.986674
2020-03-25,5.1985908,6.971773,6.2001333,6.6193075
2020-03-26,0.8033037,1.1510997,1.0741521,1.1097243
2020-03-27,2.2983046,2.832759,2.6947284,2.811326
2020-03-28,2.2874389,3.9016778,3.830693,3.8708282
2020-03-29,13.335663,17.960875,16.410503,16.790407
2020-03-30,6.370847,9.060911,8.599344,8.755028
2020-03-31,2.1473234,3.6393113,3.0631704,3.4810028
2020-04-01,2.738841,3.721282,3.546059,3.6032085
2020-04-02,3.6140203,4.952359,4.779222,4.866527
2020-04-03,5.357706,7.7419815,6.919828,7.002177
2020-04-04,2.284293,2.8237078,2.5206113,2.5452342
2020-04-05,1.9911939,2.4765499,2.343913,2.362472
2020-04-06,1.8001332,2.3379772,2.0969687,2.289076
2020-04-07,1.6572005,2.3980727,2.158868,2.2864423
2020-04-08,0.08557135,0.23652166,0.2103433,0.23600104
