ds,y
2019-12-31,1.8090736
2020-01-01,1.9926628
2020-01-02,1.1991138
2020-01-03,1.7574683
2020-01-04,0.27968174
2020-01-05,0.09770677
2020-01-06,0.10942531
2020-01-07,1.2747706
2020-01-08,2.3422358
2020-01-09,2.070577
2020-01-10,0.63650715
2020-01-11,0.68526435
2020-01-12,0.023664132
2020-01-13,0.211258
2020-01-14,0.34259725
2020-01-15,0.029560365
2020-01-16,0.5541034
2020-01-17,1.7971996
2020-01-18,1.2850211
2020-01-19,1.0236259
2020-01-20,0.985873
2020-01-21,4.8467655
2020-01-22,6.508871
2020-01-23,3.3799713
2020-01-24,0.6535974
2020-01-25,1.8959117
2020-01-26,2.0320024
2020-01-27,1.5783849
2020-01-28,2.1337917
2020-01-29,2.1828158
2020-01-30,2.2986891
2020-01-31,1.0975677
2020-02-01,6.3574767
2020-02-02,4.6691394
2020-02-03,9.135954
2020-02-04,2.4920738
2020-02-05,1.5490184
2020-02-06,2.9949665
2020-02-07,1.5957913
2020-02-08,0.5300167
2020-02-09,0.9616011
2020-02-10,2.4258308
2020-02-11,2.9755127
2020-02-12,2.182216
2020-02-13,9.604789
2020-02-14,2.0988426
2020-02-15,0.5182546
2020-02-16,2.6369128
2020-02-17,1.7488369
2020-02-18,1.5893775
2020-02-19,2.1752367
2020-02-20,9.050051
2020-02-21,3.3089828
2020-02-22,1.8830341
2020-02-23,1.6113316
2020-02-24,1.9025208
2020-02-25,1.7031873
2020-02-26,1.4216294
2020-02-27,1.0027527
2020-02-28,1.6317009
2020-02-29,2.2205594
2020-03-01,3.659832
2020-03-02,1.1544856
2020-03-03,2.8113754
2020-03-04,5.5590653
2020-03-05,0.9316141
2020-03-06,1.7164763
2020-03-07,2.6070704
2020-03-08,0.27562264
2020-03-09,0.47382638
2020-03-10,1.4115669
2020-03-11,4.7741604
2020-03-12,8.838193
2020-03-13,4.1186523
2020-03-14,3.561694
2020-03-15,22.215616
2020-03-16,5.411384
2020-03-17,5.5465407
2020-03-18,9.494869
2020-03-19,5.109305
2020-03-20,0.37010896
2020-03-21,0.83784384
